cod_municipio,nome_municipio,microrregiao,mesorregiao,regiao_estimada
4200051,Abdon Batista,Curitibanos,Serrana,Serrana
4200101,Abelardo Luz,Xanxerê,Oeste Catarinense,Oeste
4200200,Agrolândia,Ituporanga,Vale do Itajaí,Vale
4200309,Agronômica,Rio do Sul,Vale do Itajaí,Vale
4200408,Água Doce,Joaçaba,Oeste Catarinense,Oeste
4200507,Águas de Chapecó,Chapecó,Oeste Catarinense,Oeste
4200556,Águas Frias,Chapecó,Oeste Catarinense,Oeste
4200606,Águas Mornas,Tabuleiro,Grande Florianópolis,Outras
4200705,Alfredo Wagner,Tabuleiro,Grande Florianópolis,Outras
4200754,Alto Bela Vista,Concórdia,Oeste Catarinense,Oeste
4200804,Anchieta,São Miguel do Oeste,Oeste Catarinense,Oeste
4200903,Angelina,Tijucas,Grande Florianópolis,Outras
4201000,Anita Garibaldi,Campos de Lages,Serrana,Serrana
4201109,Anitápolis,Tabuleiro,Grande Florianópolis,Outras
4201208,Antônio Carlos,Florianópolis,Grande Florianópolis,Outras
4201257,Apiúna,Blumenau,Vale do Itajaí,Vale
4201273,Arabutã,Concórdia,Oeste Catarinense,Oeste
4201307,Araquari,Joinville,Norte Catarinense,Serrana
4201406,Araranguá,Araranguá,Sul Catarinense,Sul
4201505,Armazém,Tubarão,Sul Catarinense,Sul
4201604,Arroio Trinta,Joaçaba,Oeste Catarinense,Oeste
4201653,Arvoredo,Concórdia,Oeste Catarinense,Oeste
4201703,Ascurra,Blumenau,Vale do Itajaí,Vale
4201802,Atalanta,Ituporanga,Vale do Itajaí,Vale
4201901,Aurora,Rio do Sul,Vale do Itajaí,Vale
4201950,Balneário Arroio do Silva,Araranguá,Sul Catarinense,Sul
4202008,Balneário Camboriú,Itajaí,Vale do Itajaí,Vale
4202057,Balneário Barra do Sul,Joinville,Norte Catarinense,Serrana
4202073,Balneário Gaivota,Araranguá,Sul Catarinense,Sul
4202081,Bandeirante,São Miguel do Oeste,Oeste Catarinense,Oeste
4202099,Barra Bonita,São Miguel do Oeste,Oeste Catarinense,Oeste
4202107,Barra Velha,Itajaí,Vale do Itajaí,Vale
4202131,Bela Vista do Toldo,Canoinhas,Norte Catarinense,Serrana
4202156,Belmonte,São Miguel do Oeste,Oeste Catarinense,Oeste
4202206,Benedito Novo,Blumenau,Vale do Itajaí,Vale
4202305,Biguaçu,Florianópolis,Grande Florianópolis,Outras
4202404,Blumenau,Blumenau,Vale do Itajaí,Vale
4202438,Bocaina do Sul,Campos de Lages,Serrana,Serrana
4202453,Bombinhas,Itajaí,Vale do Itajaí,Vale
4202503,Bom Jardim da Serra,Campos de Lages,Serrana,Serrana
4202537,Bom Jesus,Xanxerê,Oeste Catarinense,Oeste
4202578,Bom Jesus do Oeste,Chapecó,Oeste Catarinense,Oeste
4202602,Bom Retiro,Campos de Lages,Serrana,Serrana
4202701,Botuverá,Blumenau,Vale do Itajaí,Vale
4202800,Braço do Norte,Tubarão,Sul Catarinense,Sul
4202859,Braço do Trombudo,Rio do Sul,Vale do Itajaí,Vale
4202875,Brunópolis,Curitibanos,Serrana,Serrana
4202909,Brusque,Blumenau,Vale do Itajaí,Vale
4203006,Caçador,Joaçaba,Oeste Catarinense,Oeste
4203105,Caibi,Chapecó,Oeste Catarinense,Oeste
4203154,Calmon,Joaçaba,Oeste Catarinense,Oeste
4203204,Camboriú,Itajaí,Vale do Itajaí,Vale
4203253,Capão Alto,Campos de Lages,Serrana,Serrana
4203303,Campo Alegre,São Bento do Sul,Norte Catarinense,Serrana
4203402,Campo Belo do Sul,Campos de Lages,Serrana,Serrana
4203501,Campo Erê,Chapecó,Oeste Catarinense,Oeste
4203600,Campos Novos,Curitibanos,Serrana,Serrana
4203709,Canelinha,Tijucas,Grande Florianópolis,Outras
4203808,Canoinhas,Canoinhas,Norte Catarinense,Serrana
4203907,Capinzal,Joaçaba,Oeste Catarinense,Oeste
4203956,Capivari de Baixo,Tubarão,Sul Catarinense,Sul
4204004,Catanduvas,Joaçaba,Oeste Catarinense,Oeste
4204103,Caxambu do Sul,Chapecó,Oeste Catarinense,Oeste
4204152,Celso Ramos,Campos de Lages,Serrana,Serrana
4204178,Cerro Negro,Campos de Lages,Serrana,Serrana
4204194,Chapadão do Lageado,Ituporanga,Vale do Itajaí,Vale
4204202,Chapecó,Chapecó,Oeste Catarinense,Oeste
