cod_municipio,nome_municipio,regiao_estimada,area_total_ha,area_soja_ha,area_milho_ha,area_arroz_ha,area_maca_ha,valor_producao_mil_reais,rebanho_bovinos,rebanho_suinos,rebanho_aves,estabelecimentos_total,estabelecimentos_grandes_100ha_plus
4200051,Abdon Batista,Outras,13266,2751,3065,1394,436,76950,22389,14732,414104,1729,80
4200101,Abelardo Luz,Outras,7418,1165,1398,416,476,96986,29783,34571,253390,2194,125
4200200,Agrolândia,Outras,13732,1411,875,1364,331,86848,19084,26893,130302,517,83
4200309,Agronômica,Outras,16324,1955,1635,529,354,27606,30276,12839,678064,1732,54
4200408,Água Doce,Outras,17454,2147,2757,132,288,107562,26694,15427,516464,2237,115
4200507,Águas de Chapecó,Oeste,25829,5279,3059,458,0,282949,68214,125089,4713351,1686,191
4200556,Águas Frias,Outras,6567,955,1467,831,195,84499,34586,11279,190878,2017,122
4200606,Águas Mornas,Outras,14893,1125,1078,1019,238,83405,15689,13069,99951,2343,119
4200705,Alfredo Wagner,Outras,17994,1998,2366,633,401,69083,22191,34174,261137,1694,37
4200754,Alto Bela Vista,Outras,10921,2315,1329,876,95,126271,14860,14565,566875,567,78
4200804,Anchieta,Outras,4735,2032,3980,1179,167,113388,20730,16587,673838,568,106
4200903,Angelina,Outras,9322,2298,3782,364,349,149764,41915,8009,160064,2005,146
4201000,Anita Garibaldi,Outras,9621,2269,2576,1679,195,33308,38713,6784,90978,638,86
4201109,Anitápolis,Outras,6698,1328,815,685,138,60975,46672,19926,427965,1506,82
4201208,Antônio Carlos,Outras,5672,1899,3681,1317,19,89352,24205,29531,747606,1961,42
4201257,Apiúna,Outras,5967,1710,2082,1828,408,89204,46507,15126,395507,844,142
4201273,Arabutã,Outras,9529,1980,2076,1716,481,136410,42195,28106,503787,933,141
4201307,Araquari,Outras,14439,2736,3256,1719,472,52382,47115,19415,756431,1770,93
4201406,Araranguá,Sul,27908,3440,3886,9812,0,208380,23232,40639,728862,2838,149
4201505,Armazém,Outras,15965,427,2515,127,144,92279,38629,25598,275770,1387,121
4201604,Arroio Trinta,Outras,8041,1895,1630,1196,2,123997,24300,17407,195711,1047,145
4201653,Arvoredo,Outras,17816,1171,3083,208,343,47713,42578,12273,289959,2343,73
4201703,Ascurra,Outras,15019,628,3284,984,64,25881,24847,11579,245754,554,60
4201802,Atalanta,Outras,10835,1077,2830,658,218,52943,39145,20418,367283,1480,59
4201901,Aurora,Outras,6881,416,1454,785,216,132071,31219,11011,771348,812,50
4201950,Balneário Arroio do Silva,Outras,5579,1476,2492,149,244,55220,42240,31213,782697,1626,124
4202008,Balneário Camboriú,Outras,9568,2116,1693,490,278,72445,22883,30149,363327,2240,150
4202057,Balneário Barra do Sul,Outras,8411,1358,3569,1152,389,107261,14355,24899,339052,1232,141
4202073,Balneário Gaivota,Outras,14028,1238,1207,179,269,53614,47442,21739,378300,975,39
4202081,Bandeirante,Outras,13187,2998,2238,1165,238,90517,29248,23194,228195,1308,67
4202099,Barra Bonita,Outras,16839,2617,2244,716,202,140675,38707,15280,297625,1649,53
4202107,Barra Velha,Outras,10625,2721,836,1490,13,31998,13667,18360,318452,2249,130
4202131,Bela Vista do Toldo,Outras,10738,1866,2719,1464,126,61043,35407,28435,130377,1806,50
4202156,Belmonte,Outras,15640,380,3299,965,53,35022,13936,26315,481345,1176,68
4202206,Benedito Novo,Outras,12118,1349,1175,553,495,49069,44031,28748,610091,2055,33
4202305,Biguaçu,Outras,16898,2236,2435,222,157,54471,8642,8490,528696,659,99
4202404,Blumenau,Vale,3661,1168,624,1325,0,113070,27559,4982,124793,1283,88
4202438,Bocaina do Sul,Outras,8585,1988,2299,954,195,127838,24010,34755,300674,2184,124
4202453,Bombinhas,Outras,12560,2053,2521,463,172,84522,44206,6196,197925,2019,45
4202503,Bom Jardim da Serra,Outras,12693,2463,2760,401,291,66384,14037,23563,438872,1982,48
4202537,Bom Jesus,Outras,17557,2570,3641,172,137,118129,10029,7628,270950,1456,150
4202578,Bom Jesus do Oeste,Outras,9822,2693,2118,1040,277,80455,12936,12119,749205,1721,38
4202602,Bom Retiro,Serrana,20693,2433,3514,0,1813,124298,56837,28138,384202,1448,245
4202701,Botuverá,Outras,8236,2819,2393,1435,13,128229,25582,34261,425048,2106,41
4202800,Braço do Norte,Outras,9376,1048,3724,662,127,41265,31898,32400,426605,713,35
4202859,Braço do Trombudo,Outras,7877,1110,1782,1553,205,137741,8069,15903,576157,1653,91
4202875,Brunópolis,Outras,14948,2585,3755,282,67,138459,43351,6919,796710,925,86
4202909,Brusque,Vale,7578,1714,1525,1461,0,23251,26252,8574,199676,1423,49
4203006,Caçador,Outras,4809,1650,3007,683,174,60650,27311,10954,203384,1655,55
4203105,Caibi,Outras,7542,2707,810,1026,132,35859,36388,27971,664622,2357,125
4203154,Calmon,Outras,13068,1462,2386,254,463,79760,41411,30535,696298,712,120
4203204,Camboriú,Outras,8190,2482,1874,1804,127,71808,48256,13220,90585,1406,104
4203253,Capão Alto,Outras,12927,548,1371,1991,49,107480,29012,28255,217708,2034,86
4203303,Campo Alegre,Outras,10932,1239,2654,1813,191,85367,26601,13473,666848,1366,140
4203402,Campo Belo do Sul,Outras,5473,2119,2333,908,455,147593,24546,28743,109847,2416,124
4203501,Campo Erê,Outras,8499,1340,2663,1672,111,100107,11912,32674,446975,788,112
4203600,Campos Novos,Serrana,19556,2029,1211,0,703,144332,65082,15358,361082,2191,161
4203709,Canelinha,Outras,6279,664,2130,1897,303,125917,25793,31163,642347,2407,111
4203808,Canoinhas,Outras,9054,2693,1725,483,37,123751,48066,32085,546047,829,74
4203907,Capinzal,Outras,10174,1309,2096,328,302,31895,26066,33038,780292,1366,126
4203956,Capivari de Baixo,Outras,16824,2251,2129,1898,123,32015,39607,6303,662397,984,94
4204004,Catanduvas,Outras,10439,1857,2692,1555,269,38386,13525,25909,110891,1544,79
4204103,Caxambu do Sul,Outras,9664,2182,1889,699,442,126609,27185,27510,775044,1604,134
4204152,Celso Ramos,Outras,4227,1318,1215,1586,63,114179,31311,14532,533995,1922,120
4204178,Cerro Negro,Outras,4564,2740,2396,1270,261,42085,27080,11277,458358,1718,48
4204194,Chapadão do Lageado,Outras,12885,1195,3046,638,42,44666,45389,32747,190286,844,139
4204202,Chapecó,Oeste,13367,8003,10477,366,0,52825,60225,146834,1929970,1410,79
4204251,Cocal do Sul,Outras,17194,908,1077,129,241,59162,12017,20569,597104,1086,98
4204301,Concórdia,Oeste,21592,4671,9201,281,0,250465,36498,271954,873350,1837,247
4204350,Cordilheira Alta,Outras,11575,392,1733,330,262,148256,31162,34206,519517,2063,125
4204400,Coronel Freitas,Outras,4892,1588,2743,1343,194,61288,47098,33053,104592,786,150
4204459,Coronel Martins,Outras,16463,377,3926,1314,184,125332,39318,13631,583074,1397,112
4204509,Corupá,Outras,9404,1827,1835,1572,74,116975,21218,32821,441983,1589,42
4204558,Correia Pinto,Outras,14382,397,2226,1220,247,74312,9838,17655,481255,758,31
4204608,Criciúma,Sul,22502,3433,4614,9076,0,128075,22734,25937,993102,1069,172
4204707,Cunha Porã,Outras,11358,1089,2301,673,228,115515,33018,9620,444565,654,107
4204756,Cunhataí,Outras,11150,2555,3830,1977,70,55295,20129,21245,229569,529,90
4204806,Curitibanos,Serrana,9706,2913,3946,0,1102,50138,45663,23640,296366,1730,354
4204905,Descanso,Outras,5805,1982,3913,1938,246,48987,31692,30118,589280,892,141
4205001,Dionísio Cerqueira,Outras,9798,1537,1032,1030,440,119450,22677,12221,99919,689,148
4205100,Dona Emma,Outras,13971,1425,3117,385,329,131979,17249,16767,196194,1058,84
4205159,Doutor Pedrinho,Outras,10240,501,1632,1048,322,93484,35736,19012,724142,2400,72
4205175,Entre Rios,Outras,15542,1476,1071,1703,295,78806,8535,22500,95230,1691,83
4205191,Ermo,Outras,5790,1347,1886,153,172,113990,16567,11961,222770,1768,35
4205209,Erval Velho,Outras,4701,1041,3048,1889,333,34620,22682,9449,121787,1543,71
4205308,Faxinal dos Guedes,Outras,12112,767,2479,1243,461,94910,40185,10103,610743,1528,82
4205357,Flor do Sertão,Outras,5420,2206,3861,1696,200,111718,24788,7423,194876,1542,91
4205407,Florianópolis,Outras,7326,2307,2503,248,286,118337,21843,30952,799386,1418,134
4205431,Formosa do Sul,Outras,6144,599,1152,200,341,74780,47417,22527,504564,2494,122
4205456,Forquilhinha,Outras,13343,2381,1951,1364,263,118546,22717,12865,130855,2235,91
4205506,Fraiburgo,Outras,6716,2338,2309,1857,442,62442,27864,6646,681755,2442,64
4205555,Frei Rogério,Outras,16704,958,1891,1583,384,74601,11990,17101,435169,1247,101
4205605,Galvão,Outras,9004,1505,1898,1106,292,127181,20818,6273,642772,1369,87
4205704,Garopaba,Outras,4665,1820,3168,1665,54,63631,33759,28859,691033,2434,77
4205803,Garuva,Outras,14872,2118,2331,1297,424,85430,20618,21459,433285,1330,148
