cod_municipio,nome_municipio,area_total_ha,area_arroz_ha,area_maca_ha,area_milho_ha,area_soja_ha
4200051,Abdon Batista (SC),5974,0,0,2150,3270
4200101,Abelardo Luz (SC),69401,0,0,4300,45500
4200200,Agrolândia (SC),3001,175,0,1250,800
4200309,Agronômica (SC),4867,350,0,1050,1800
4200408,Água Doce (SC),29920,0,365,4050,23200
4200507,Águas de Chapecó (SC),3264,0,0,800,1300
4200556,Águas Frias (SC),2279,0,0,760,1000
4200606,Águas Mornas (SC),416,0,0,125,0
4200705,Alfredo Wagner (SC),8092,128,0,3100,550
4200754,Alto Bela Vista (SC),1141,0,0,450,410
4200804,Anchieta (SC),1954,0,0,500,1050
4200903,Angelina (SC),2037,0,0,900,0
4201000,Anita Garibaldi (SC),6503,0,0,2000,3500
4201109,Anitápolis (SC),366,1,0,150,0
4201208,Antônio Carlos (SC),433,0,0,3,0
4201257,Apiúna (SC),926,35,0,428,0
4201273,Arabutã (SC),757,0,0,350,10
4201307,Araquari (SC),2882,2340,0,35,0
4201406,Araranguá (SC),9162,5527,0,950,600
4201505,Armazém (SC),988,0,0,550,0
4201604,Arroio Trinta (SC),1920,0,0,1450,250
4201653,Arvoredo (SC),585,0,0,150,250
4201703,Ascurra (SC),667,530,0,30,0
4201802,Atalanta (SC),3359,0,0,800,1250
4201901,Aurora (SC),5354,0,0,1700,700
4201950,Balneário Arroio do Silva (SC),0,0,0,0,0
4202008,Balneário Camboriú (SC),0,0,0,0,0
4202057,Balneário Barra do Sul (SC),15,0,0,0,0
4202073,Balneário Gaivota (SC),461,0,0,110,150
4202081,Bandeirante (SC),2171,0,0,600,1200
4202099,Barra Bonita (SC),1167,0,0,600,245
4202107,Barra Velha (SC),1466,385,0,0,0
4202131,Bela Vista do Toldo (SC),11195,0,5,1000,6100
4202156,Belmonte (SC),3594,0,0,1650,1200
4202206,Benedito Novo (SC),823,328,0,395,0
4202305,Biguaçu (SC),550,250,0,0,0
4202404,Blumenau (SC),319,10,0,106,0
4202438,Bocaina do Sul (SC),2729,0,0,400,1800
4202453,Bombinhas (SC),0,0,0,0,0
4202503,Bom Jardim da Serra (SC),1739,0,1450,75,0
4202537,Bom Jesus (SC),5714,0,0,600,3500
4202578,Bom Jesus do Oeste (SC),3875,0,0,600,2000
4202602,Bom Retiro (SC),11807,0,150,2000,8000
4202701,Botuverá (SC),380,0,0,150,0
4202800,Braço do Norte (SC),823,0,0,450,0
4202859,Braço do Trombudo (SC),1278,43,0,700,300
4202875,Brunópolis (SC),11692,0,0,2100,9230
4202909,Brusque (SC),101,20,0,0,0
4203006,Caçador (SC),8720,0,85,3250,3250
4203105,Caibi (SC),2515,0,0,1000,1100
4203154,Calmon (SC),3358,0,0,1000,1500
4203204,Camboriú (SC),987,950,0,5,0
4203253,Capão Alto (SC),13273,0,55,2800,9000
4203303,Campo Alegre (SC),4438,0,0,1000,2250
4203402,Campo Belo do Sul (SC),20338,2,98,3200,14800
4203501,Campo Erê (SC),32898,0,0,2500,19700
4203600,Campos Novos (SC),90879,0,0,9144,64000
4203709,Canelinha (SC),240,150,0,17,0
4203808,Canoinhas (SC),48596,0,0,4800,29000
4203907,Capinzal (SC),8405,0,0,980,5200
4203956,Capivari de Baixo (SC),1412,900,0,100,412
4204004,Catanduvas (SC),1840,0,0,360,600
4204103,Caxambu do Sul (SC),8583,0,0,2680,4250
4204152,Celso Ramos (SC),2052,0,0,700,900
4204178,Cerro Negro (SC),9991,2,0,2400,6100
4204194,Chapadão do Lageado (SC),4113,0,0,800,640
4204202,Chapecó (SC),22459,0,0,4050,10800
4204251,Cocal do Sul (SC),1086,80,0,425,360
4204301,Concórdia (SC),9843,0,0,5000,2200
4204350,Cordilheira Alta (SC),691,0,0,190,320
4204400,Coronel Freitas (SC),4277,0,0,600,2500
4204459,Coronel Martins (SC),3318,0,0,150,2700
4204509,Corupá (SC),5414,59,0,40,0
4204558,Correia Pinto (SC),7296,0,126,900,5800
4204608,Criciúma (SC),5062,518,0,1200,1800
4204707,Cunha Porã (SC),9114,0,0,1200,5200
4204756,Cunhataí (SC),1360,0,0,570,550
4204806,Curitibanos (SC),28708,0,0,2900,24100
4204905,Descanso (SC),9721,0,0,3550,3650
4205001,Dionísio Cerqueira (SC),10503,0,0,700,7800
4205100,Dona Emma (SC),1473,12,0,750,100
4205159,Doutor Pedrinho (SC),1355,844,0,146,300
4205175,Entre Rios (SC),2375,1,0,200,1800
4205191,Ermo (SC),4484,3324,0,450,300
4205209,Erval Velho (SC),5787,0,0,2805,2660
4205308,Faxinal dos Guedes (SC),18886,0,0,1850,12100
4205357,Flor do Sertão (SC),1083,0,0,370,550
4205407,Florianópolis (SC),83,0,0,0,0
4205431,Formosa do Sul (SC),838,0,0,120,520
4205456,Forquilhinha (SC),12564,9750,0,1400,1200
4205506,Fraiburgo (SC),17320,0,1604,4500,8000
4205555,Frei Rogério (SC),6332,0,2,1700,3800
4205605,Galvão (SC),8614,0,0,500,5200
4205704,Garopaba (SC),269,172,0,5,0
4205803,Garuva (SC),2919,1000,0,0,0
4205902,Gaspar (SC),2921,2680,0,9,0
4206009,Governador Celso Ramos (SC),17,0,0,0,0
4206108,Grão-Pará (SC),1823,2,0,425,0
4206207,Gravatal (SC),558,200,0,5,318
4206306,Guabiruba (SC),244,50,0,70,0
4206405,Guaraciaba (SC),10514,0,0,2550,6250
4206504,Guaramirim (SC),5476,4700,0,80,0
