"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"Ano x Produto das lavouras temporárias e permanentes"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"2024"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"Total";"Arroz (em casca)";"Maçã";"Milho (em grão)";"Soja (em grão)"
"BR";"1";"Brasil";"97336121";"1634502";"33154";"21436837";"46208798"
"UF";"11";"Rondônia";"1134347";"41809";"-";"349695";"643639"
"UF";"12";"Acre";"99296";"3749";"-";"37625";"17578"
"UF";"13";"Amazonas";"158047";"6101";"-";"6147";"24472"
"UF";"14";"Roraima";"169365";"10300";"-";"18158";"117215"
"UF";"15";"Pará";"2832319";"45449";"-";"477962";"1194024"
"UF";"16";"Amapá";"27434";"510";"-";"1800";"7500"
"UF";"17";"Tocantins";"2201735";"119246";"-";"471066";"1428227"
"UF";"21";"Maranhão";"2081936";"77119";"-";"496073";"1302915"
"UF";"22";"Piauí";"1962891";"45119";"-";"442105";"1080496"
"UF";"23";"Ceará";"1430728";"5642";"-";"572432";"3546"
"UF";"24";"Rio Grande do Norte";"354642";"384";"-";"70955";"100"
"UF";"25";"Paraíba";"383407";"2191";"-";"106853";"-"
"UF";"26";"Pernambuco";"825506";"6";"-";"184668";"-"
"UF";"27";"Alagoas";"464710";"2601";"-";"52459";"5054"
"UF";"28";"Sergipe";"314628";"6414";"-";"178893";"-"
"UF";"29";"Bahia";"4575485";"479";"-";"649224";"1969339"
"UF";"31";"Minas Gerais";"6747644";"17389";"308";"1115757";"2274950"
"UF";"32";"Espírito Santo";"616948";"97";"-";"16684";"504"
"UF";"33";"Rio de Janeiro";"107514";"233";"-";"1525";"748"
"UF";"34";"Guanabara";"...";"...";"...";"...";"..."
"UF";"35";"São Paulo";"9155949";"9900";"145";"747217";"1388333"
"UF";"41";"Paraná";"11347789";"19598";"1018";"2827906";"5773424"
"UF";"42";"Santa Catarina";"1685604";"142927";"16151";"294946";"814633"
"UF";"43";"Rio Grande do Sul";"10644466";"909954";"15532";"808916";"6708397"
"UF";"50";"Mato Grosso do Sul";"7237956";"8822";"-";"2216501";"4043539"
"UF";"51";"Mato Grosso";"21606309";"129332";"-";"7078785";"12383077"
"UF";"52";"Goiás";"8979734";"28131";"-";"2159485";"4942088"
"UF";"53";"Distrito Federal";"189732";"1000";"-";"53000";"85000"
"MU";"1100015";"Alta Floresta D'Oeste (RO)";"9190";"135";"-";"1850";"1697"
"MU";"1100023";"Ariquemes (RO)";"25342";"375";"-";"7881";"15980"
"MU";"1100031";"Cabixi (RO)";"54895";"1200";"-";"21470";"32000"
"MU";"1100049";"Cacoal (RO)";"15868";"150";"-";"3145";"6411"
"MU";"1100056";"Cerejeiras (RO)";"67615";"800";"-";"26510";"40000"
"MU";"1100064";"Colorado do Oeste (RO)";"4557";"29";"-";"1880";"2310"
"MU";"1100072";"Corumbiara (RO)";"89734";"1700";"-";"33020";"54743"
"MU";"1100080";"Costa Marques (RO)";"12015";"-";"-";"4070";"7224"
"MU";"1100098";"Espigão D'Oeste (RO)";"4317";"1";"-";"1394";"1902"
"MU";"1100106";"Guajará-Mirim (RO)";"12209";"1";"-";"2100";"9625"
"MU";"1100114";"Jaru (RO)";"2938";"-";"-";"450";"187"
"MU";"1100122";"Ji-Paraná (RO)";"1393";"300";"-";"560";"68"
"MU";"1100130";"Machadinho D'Oeste (RO)";"26511";"1000";"-";"7425";"15500"
"MU";"1100148";"Nova Brasilândia D'Oeste (RO)";"10194";"10";"-";"1150";"1959"
"MU";"1100155";"Ouro Preto do Oeste (RO)";"5137";"1";"-";"1384";"2009"
"MU";"1100189";"Pimenta Bueno (RO)";"4114";"-";"-";"1401";"2085"
"MU";"1100205";"Porto Velho (RO)";"89945";"6300";"-";"21000";"46994"
"MU";"1100254";"Presidente Médici (RO)";"710";"5";"-";"35";"-"
"MU";"1100262";"Rio Crespo (RO)";"52577";"-";"-";"16684";"35494"
"MU";"1100288";"Rolim de Moura (RO)";"14185";"360";"-";"3850";"8017"
"MU";"1100296";"Santa Luzia D'Oeste (RO)";"12514";"-";"-";"3246";"8417"
"MU";"1100304";"Vilhena (RO)";"81432";"290";"-";"28515";"42514"
"MU";"1100320";"São Miguel do Guaporé (RO)";"54470";"4900";"-";"14173";"30971"
"MU";"1100338";"Nova Mamoré (RO)";"14301";"300";"-";"1600";"11551"
"MU";"1100346";"Alvorada D'Oeste (RO)";"2719";"183";"-";"30";"1060"
"MU";"1100379";"Alto Alegre dos Parecis (RO)";"11782";"325";"-";"2872";"3579"
"MU";"1100403";"Alto Paraíso (RO)";"44810";"2350";"-";"12100";"29566"
"MU";"1100452";"Buritis (RO)";"9118";"-";"-";"2175";"1237"
"MU";"1100502";"Novo Horizonte do Oeste (RO)";"6822";"10";"-";"2050";"2975"
"MU";"1100601";"Cacaulândia (RO)";"1740";"-";"-";"555";"550"
"MU";"1100700";"Campo Novo de Rondônia (RO)";"2567";"50";"-";"420";"914"
"MU";"1100809";"Candeias do Jamari (RO)";"47125";"4220";"-";"9630";"30894"
